layer,proj,kind,rows,cols,max_rank,effective_rank,null_space_dim,n_exact_zero,n_below_tol,sigma_max,sigma_min
13,v_proj,attn,1024,4096,1024,1024,0,0,0,1.023146629333496,0.08592705428600311
13,gate_proj,mlp,14336,4096,4096,4096,0,0,0,12.382782936096191,0.1804181933403015
13,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.6064577102661133,0.17666687071323395
14,q_proj,attn,4096,4096,4096,4043,53,0,53,8.416468620300293,0.00012393629003781825
14,k_proj,attn,1024,4096,1024,1024,0,0,0,7.485916614532471,0.11792393028736115
14,v_proj,attn,1024,4096,1024,1024,0,0,0,0.9841705560684204,0.14023949205875397
14,gate_proj,mlp,14336,4096,4096,4096,0,0,0,12.484427452087402,0.17379184067249298
14,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.5591793060302734,0.23719604313373566
15,q_proj,attn,4096,4096,4096,4035,61,0,61,10.034709930419922,3.442097749939421e-06
15,k_proj,attn,1024,4096,1024,1024,0,0,0,7.929563999176025,0.18540601432323456
15,v_proj,attn,1024,4096,1024,1024,0,0,0,1.1356499195098877,0.13653191924095154
15,gate_proj,mlp,14336,4096,4096,4096,0,0,0,13.489415168762207,0.20219686627388
15,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.545590400695801,0.20236167311668396
16,q_proj,attn,4096,4096,4096,4036,60,0,60,9.839109420776367,6.272148311836645e-05
16,k_proj,attn,1024,4096,1024,1024,0,0,0,8.31036376953125,0.15365758538246155
16,v_proj,attn,1024,4096,1024,1024,0,0,0,1.0197093486785889,0.1045464277267456
16,gate_proj,mlp,14336,4096,4096,4096,0,0,0,13.396037101745605,0.19524972140789032
16,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.729193925857544,0.16934974491596222
17,q_proj,attn,4096,4096,4096,4040,56,0,56,10.42354679107666,9.680099901743233e-05
17,k_proj,attn,1024,4096,1024,1024,0,0,0,7.673202991485596,0.1881113201379776
17,v_proj,attn,1024,4096,1024,1024,0,0,0,1.1330348253250122,0.2009432315826416
17,gate_proj,mlp,14336,4096,4096,4096,0,0,0,13.112788200378418,0.19097363948822021
17,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.6988260746002197,0.1640385389328003
18,q_proj,attn,4096,4096,4096,4050,46,0,46,9.859339714050293,0.00016493072325829417
18,k_proj,attn,1024,4096,1024,1024,0,0,0,7.863155841827393,0.17719592154026031
18,v_proj,attn,1024,4096,1024,1024,0,0,0,1.047757625579834,0.1040378212928772
18,gate_proj,mlp,14336,4096,4096,4096,0,0,0,12.57934284210205,0.16691327095031738
18,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.6131341457366943,0.14136937260627747
19,q_proj,attn,4096,4096,4096,4053,43,0,43,9.891057968139648,1.854020229075104e-05
19,k_proj,attn,1024,4096,1024,1024,0,0,0,7.392695903778076,0.19137650728225708
19,v_proj,attn,1024,4096,1024,1024,0,0,0,1.139258861541748,0.12600894272327423
19,gate_proj,mlp,14336,4096,4096,4096,0,0,0,11.748625755310059,0.17743909358978271
19,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.4490249156951904,0.14772184193134308
20,q_proj,attn,4096,4096,4096,4054,42,0,42,9.441370964050293,6.721746467519552e-05
20,k_proj,attn,1024,4096,1024,1024,0,0,0,7.525798320770264,0.19417889416217804
20,v_proj,attn,1024,4096,1024,1024,0,0,0,1.1467211246490479,0.16781319677829742
20,gate_proj,mlp,14336,4096,4096,4096,0,0,0,11.614157676696777,0.18578118085861206
20,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.5377726554870605,0.1557541936635971
21,q_proj,attn,4096,4096,4096,4056,40,0,40,9.922386169433594,1.809490095183719e-05
21,k_proj,attn,1024,4096,1024,1024,0,0,0,7.410646915435791,0.15889950096607208
21,v_proj,attn,1024,4096,1024,1024,0,0,0,1.151917576789856,0.20685690641403198
21,gate_proj,mlp,14336,4096,4096,4096,0,0,0,11.189757347106934,0.18997550010681152
21,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.6388373374938965,0.15825821459293365
22,q_proj,attn,4096,4096,4096,4055,41,0,41,9.078825950622559,0.00012190888810437173
22,k_proj,attn,1024,4096,1024,1024,0,0,0,6.996856689453125,0.2010970562696457
22,v_proj,attn,1024,4096,1024,1024,0,0,0,1.1924713850021362,0.19630873203277588
22,gate_proj,mlp,14336,4096,4096,4096,0,0,0,11.133134841918945,0.18210871517658234
22,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.5271458625793457,0.15080955624580383
23,q_proj,attn,4096,4096,4096,4056,40,0,40,9.460192680358887,4.4059335778001696e-05
23,k_proj,attn,1024,4096,1024,1024,0,0,0,7.063031196594238,0.1901548057794571
23,v_proj,attn,1024,4096,1024,1024,0,0,0,1.439761996269226,0.23216602206230164
23,gate_proj,mlp,14336,4096,4096,4096,0,0,0,10.635332107543945,0.1851384937763214
23,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.3432729244232178,0.15837498009204865
24,q_proj,attn,4096,4096,4096,4054,42,0,42,8.819936752319336,0.0001416196464560926
24,k_proj,attn,1024,4096,1024,1024,0,0,0,6.744434833526611,0.17058393359184265
24,v_proj,attn,1024,4096,1024,1024,0,0,0,1.3630210161209106,0.18580161035060883
24,gate_proj,mlp,14336,4096,4096,4096,0,0,0,9.828076362609863,0.20125581324100494
24,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.079977035522461,0.16354291141033173
25,q_proj,attn,4096,4096,4096,4052,44,0,44,9.228470802307129,0.00022066806559450924
25,k_proj,attn,1024,4096,1024,1024,0,0,0,6.650259494781494,0.12602867186069489
25,v_proj,attn,1024,4096,1024,1024,0,0,0,1.5058634281158447,0.1845896989107132
25,gate_proj,mlp,14336,4096,4096,4096,0,0,0,9.510056495666504,0.22064244747161865
25,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.192958354949951,0.18100237846374512
26,q_proj,attn,4096,4096,4096,4055,41,0,41,8.944498062133789,2.8077891329303384e-05
26,k_proj,attn,1024,4096,1024,1024,0,0,0,7.185684680938721,0.1598643958568573
26,v_proj,attn,1024,4096,1024,1024,0,0,0,1.4701035022735596,0.2609567642211914
26,gate_proj,mlp,14336,4096,4096,4096,0,0,0,10.375567436218262,0.2314959615468979
26,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.667473793029785,0.1866469532251358
27,q_proj,attn,4096,4096,4096,4044,52,0,52,9.738767623901367,5.781601430498995e-05
27,k_proj,attn,1024,4096,1024,1024,0,0,0,7.298863410949707,0.16090252995491028
27,v_proj,attn,1024,4096,1024,1024,0,0,0,1.7108513116836548,0.265183687210083
27,gate_proj,mlp,14336,4096,4096,4096,0,0,0,12.006054878234863,0.2586885392665863
27,up_proj,mlp,14336,4096,4096,4096,0,0,0,4.303846836090088,0.20263831317424774
28,q_proj,attn,4096,4096,4096,4049,47,0,47,10.413396835327148,0.00016944680828601122
28,k_proj,attn,1024,4096,1024,1024,0,0,0,7.516549587249756,0.13422134518623352
28,v_proj,attn,1024,4096,1024,1024,0,0,0,1.7294400930404663,0.31498897075653076
28,gate_proj,mlp,14336,4096,4096,4096,0,0,0,12.193785667419434,0.24962013959884644
28,up_proj,mlp,14336,4096,4096,4096,0,0,0,5.147907257080078,0.20661337673664093
29,q_proj,attn,4096,4096,4096,4059,37,0,37,8.89094066619873,1.6304438759107143e-05
29,k_proj,attn,1024,4096,1024,1024,0,0,0,7.559725284576416,0.16138893365859985
29,v_proj,attn,1024,4096,1024,1024,0,0,0,1.8503297567367554,0.19606807827949524
29,gate_proj,mlp,14336,4096,4096,4096,0,0,0,12.851358413696289,0.2788495421409607
29,up_proj,mlp,14336,4096,4096,4096,0,0,0,6.293947219848633,0.24928852915763855
30,q_proj,attn,4096,4096,4096,4025,71,0,71,10.76186752319336,1.4766735148441512e-05
30,k_proj,attn,1024,4096,1024,1024,0,0,0,7.318429470062256,0.1422729641199112
30,v_proj,attn,1024,4096,1024,1024,0,0,0,2.3384175300598145,0.27926668524742126
30,gate_proj,mlp,14336,4096,4096,4096,0,0,0,14.576982498168945,0.3228926956653595
30,up_proj,mlp,14336,4096,4096,4096,0,0,0,9.606999397277832,0.3050895035266876
31,q_proj,attn,4096,4096,4096,4036,60,0,60,12.266668319702148,9.78573825705098e-06
31,k_proj,attn,1024,4096,1024,1024,0,0,0,8.36457633972168,0.12921081483364105
31,v_proj,attn,1024,4096,1024,1024,0,0,0,2.3328161239624023,0.22159749269485474
31,gate_proj,mlp,14336,4096,4096,4096,0,0,0,22.652189254760742,0.5715200304985046
31,up_proj,mlp,14336,4096,4096,4096,0,0,0,17.346044540405273,0.48269394040107727
